,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
86,BIO 402,TSL,Belize: Biodiversity and Culture,GER - CORE :: NW - Natural World/GER - Global Awareness :: WC (World Cultures)/Special Course :: Study Away,(BIO 101 OR BIO 102 OR BIO 111) AND instructor permission,BIO 402-TS - Belize: Biodiversity and Culture,Laboratory
87,BIO 423,TS,Marine Biology,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only)/GER - Global Awareness :: NE (Humans and the Natural Environment),Instructor permission required,BIO 423-TSL - Marine Biology,Lecture
88,BIO 423,TSL,Marine Biology,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only)/GER - Global Awareness :: NE (Humans and the Natural Environment),Instructor permission required,BIO 423-TS - Marine Biology,Laboratory
89,BIO 425,01,Developmental Biology,empty,(BIO 222) AND (BIO 210 OR BIO 211 OR BIO 212 OR BIO 213),BIO 425-01L - Developmental Biology,Lecture
90,BIO 425,01L,Developmental Biology,empty,(BIO 222) AND (BIO 210 OR BIO 211 OR BIO 212 OR BIO 213),BIO 425-01 - Developmental Biology,Laboratory
91,BIO 426,01,Human Anatomical Systems,IDS :: Neuroscience,BIO 222 Research and Analysis,BIO 426-01L - Human Anatomical Systems,Lecture
92,BIO 426,01L,Human Anatomical Systems,IDS :: Neuroscience,BIO 222 Research and Analysis,BIO 426-01 - Human Anatomical Systems,Laboratory
93,BIO 460,01,Neurobiology,IDS :: Neuroscience,PSY 202 OR BIO 222,BIO 460-01L - Neurobiology,Lecture
94,BIO 460,01L,Neurobiology,IDS :: Neuroscience,PSY 202 OR BIO 222,BIO 460-01 - Neurobiology,Laboratory
95,BIO 501,01,Independent Study,empty,Instructor Permission Required,empty,Lecture
96,BIO 502,02,Research,empty,Instructor permission required,empty,Independent Study
97,BIO 502,03,Research,empty,Instructor permission required,empty,Independent Study
98,BIO 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
99,BIO 503,02,Individualized Internship,empty,Instructor permission required,empty,Independent Study
100,BIO 503,03,Individualized Internship,empty,Instructor permission required,empty,Independent Study
101,BIO 503,04,Individualized Internship,empty,Instructor Permission Required AND BIO 222 Recommended.,empty,Independent Study
102,BIO 503,05,Individualized Internship,empty,Instructor Permission Required,empty,Independent Study
103,BIO 503,06,Individualized Internship,empty,Instructor Permission Required,empty,Independent Study
104,BIO 506,01,Experience in Research,empty,Instructor permission required,empty,Independent Study
105,BIO 506,02,Experience in Research,empty,Instructor permission required,empty,Independent Study
106,BIO 506,03,Experience in Research,empty,Instructor permission required,empty,Independent Study
107,BIO 506,04,Experience in Research,empty,Instructor permission required,empty,Independent Study
108,BIO 506,05,Experience in Research,empty,Instructor permission required,empty,Independent Study
109,BIO 506,06,Experience in Research,empty,Instructor permission required,empty,Independent Study
110,BIO 510,04,Thesis,empty,Instructor Permission Required,empty,Independent Study
111,BIO 510,05,Thesis,empty,Instructor Permission Required,empty,Independent Study
112,BIO 510,06,Thesis,empty,Instructor Permission Required,empty,Independent Study
113,BIO 510,07,Thesis,empty,Instructor Permission Required,empty,Independent Study
114,BIO 510,08,Thesis,empty,Instructor Permission Required,empty,Independent Study
115,BIO 510,09,Thesis,empty,Instructor Permission Required,empty,Independent Study
116,BUS 100,01,Personal Finance,empty,Junior or Senior Class Standing,empty,Lecture
117,BUS 100,02,Personal Finance,empty,Junior or Senior Class Standing,empty,Lecture
118,BUS 230,01,Business Analytics,IDS :: Data Analytics,(ACC 111 or ACC 120) AND (MTH 120 or ECN 120) AND (Declared Business Administration or Accounting Major) AND Instructor Permission Required,empty,Lecture
119,BUS 230,02,Business Analytics,IDS :: Data Analytics,(ACC 111 or ACC 120) AND (MTH 120 or ECN 120) AND (Declared Business Administration or Accounting Major) AND Instructor Permission Required,empty,Lecture
120,BUS 230,03,Business Analytics,IDS :: Data Analytics,(ACC 111 or ACC 120) AND (MTH 120 or ECN 120) AND (Declared Business Administration or Accounting Major) AND Instructor Permission Required,empty,Lecture
121,BUS 270,02,Entrepreneurship and New Venture Development,empty,empty,empty,Lecture
122,BUS 280A,02,New Venture Business Modeling,empty,BUS 270,empty,Lecture
123,BUS 320,01,Marketing Principles,IDS :: Visual Strategy,ECN 111 AND No BUS 321 Equivalency,empty,Lecture
124,BUS 320,02,Marketing Principles,IDS :: Visual Strategy,ECN 111 AND No BUS 321 Equivalency,empty,Lecture
125,BUS 340,01,Introduction to Finance and Markets,empty,(ACC 111 or ACC 120) AND ECN 111 AND MTH 120 AND (No BUS 341 Equivalency),empty,Lecture
126,BUS 340,02,Introduction to Finance and Markets,empty,(ACC 111 or ACC 120) AND ECN 111 AND MTH 120 AND (No BUS 341 Equivalency),empty,Lecture
127,BUS 340,03,Introduction to Finance and Markets,empty,(ACC 111 or ACC 120) AND ECN 111 AND MTH 120 AND (No BUS 341 Equivalency),empty,Lecture
128,BUS 350,01,Business Law,empty,empty,empty,Lecture
129,BUS 421,01,International Marketing,empty,Instructor Permission Required,empty,Lecture
130,BUS 423,01,Consumer Behavior,IDS :: Visual Strategy,(BUS 320 or BUS 321) AND (Instructor Permission Required),empty,Lecture
131,BUS 424,01,"Business, Branding and Behavior",empty,(BUS 320 or BUS 321) AND (Instructor Permission Required),empty,Lecture
132,BUS 440,01,Investments Management,empty,(Declared Business Administration - Finance Track Majors) AND (BUS 340 or BUS 341),empty,Lecture
133,BUS 442,01,Financial Institutions and Markets,empty,ECN 111 AND (Declared Accounting or Business Administration Major),empty,Lecture
134,BUS 450,02,Strategic Management,GER - Writing :: WR (Writing-Research Intensive),(1 FYW course) AND (Declared Business Administration or Accounting major) AND (ACC 120 or ACC 301) AND (BUS 320 or BUS 321) AND (BUS 340 or BUS 341),empty,Seminar
135,BUS 450,03,Strategic Management,GER - Writing :: WR (Writing-Research Intensive),(1 FYW course) AND (Declared Business Administration or Accounting major) AND (ACC 120 or ACC 301) AND (BUS 320 or BUS 321) AND (BUS 340 or BUS 341),empty,Seminar
136,BUS 501,01,Independent Study,empty,Instructor permission required,empty,Independent Study
137,BUS 501,02,Independent Study,empty,Instructor permission required,empty,Independent Study
138,BUS 501,03,Independent Study,empty,Instructor permission required,empty,Independent Study
139,BUS 501,04,Independent Study,empty,Instructor permission required,empty,Independent Study
140,BUS 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
141,BUS 503,02,Individualized Internship,empty,Instructor permission required,empty,Independent Study
142,BUS 503,03,Individualized Internship,empty,Instructor permission required,empty,Independent Study
