,Program,Header,Courses
20,"Chinese Studies, B.A.",h3: At least three Chinese language courses beyond CHN 201:,"[{'CHN-110 Elementary Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60678&print'}, {'CHN-120 Elementary Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60679&print'}, {'CHN-201 Intermediate Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60680&print'}, {'CHN-202 Intermediate Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60681&print'}, {'CHN-301 Intermediate Chinese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60688&print'}, {'CHN-302 Intermediate Chinese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60689&print'}, {'CHN-401 Advanced Chinese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60691&print'}, {'CHN-402 Advanced Chinese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60692&print'}]"
21,"Chinese Studies, B.A.",h3: At least three China focused courses (12 credits) from the following:,"[{'AST-215 Archaeology of East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61600&print'}, {'AST-240 Archaeology of the Silk Road': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61556&print'}, {'CHN-225 Chinese Film': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60682&print'}, {'CHN-230 Survey of Chinese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60683&print'}, {'CHN-235 Classic Chinese Fiction': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60684&print'}, {'CHN-240 Chinese Civilization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60685&print'}, {'CHN-245 Twentieth Century Chinese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60686&print'}, {'CHN-246 Twentieth Century Chinese Popular Fiction': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60687&print'}, {'CHN-320 Travel Study in Chinese Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60690&print'}, {'CHN-403 Chinese through Film and Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60693&print'}, {'CHN-404 Classical Chinese': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60694&print'}, {'HST-165 China in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60554&print'}, {'HST-166 China in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60555&print'}, {'HST-268 Twentieth Century China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60581&print'}, 'HST 27X Special Topics in Chinese History (2 credits)', {'HST-350 Travel Study in China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60590&print'}, {'PHL-240 Chinese Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60966&print'}, {'POL-226 Politics of China': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61038&print'}, {'POL-443 Issues in Chinese Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61076&print'}, 'An approved FYW or MayX (2 credits) with topic focuson China']"
22,"Chinese Studies, B.A.",h3: Only 1 of the following Pan-Asian courses may count toward the total of 12 courses:,"[{'ANT-209 Gender in East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60091&print'}, {'AST-250 Human Development in Contemporary Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60135&print'}, {'AST-270 Languages of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60138&print'}, {'POL-229 Politics of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61040&print'}, {'REL-320 Sexuality and Gender in Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61720&print'}, {'REL-224 Introduction to Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61121&print'}]"
23,"Japanese Studies, B.A.","h2: Majors must complete AST-200 plus at least eleven courses (44 credits) focused on Japan, with at least four courses having a prefix other than JPN. The following courses are required for all majors:","[{'AST-200 Introduction to Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61509&print'}, {'AST-470 Seminar in Asian Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60139&print'}]"
24,"Japanese Studies, B.A.",h3: At least three Japanese courses beyond JPN 201:,"[{'JPN-110 Elementary Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60762&print'}, {'JPN-120 Elementary Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60763&print'}, {'JPN-201 Intermediate Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60764&print'}, {'JPN-202 Intermediate Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60765&print'}, {'JPN-301 Intermediate Japanese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60769&print'}, {'JPN-302 Intermediate Japanese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60770&print'}, {'JPN-401 Advanced Japanese I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60771&print'}, {'JPN-402 Advanced Japanese II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60772&print'}, {'JPN-403 Advanced Japanese III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60773&print'}, {'JPN-404 Advanced Japanese IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60774&print'}]"
25,"Japanese Studies, B.A.",h3: At least three Japan focused courses (12 credits) from the following:,"[{'ANT-204 Modern Japanese Society through Films': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60089&print'}, {'ANT-205 Japanese Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60090&print'}, {'ART-263 Arts of Japan': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60119&print'}, {'HST-161 Japan in the Ancient and Early Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60552&print'}, {'HST-162 Japan in the Modern World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60553&print'}, {'JPN-225 Japanese Cinema': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60766&print'}, {'JPN-235 Classical Japanese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60767&print'}, {'JPN-245 Modern Japanese Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60768&print'}, {'PHL-220 Realizing Bodymind': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60965&print'}, {'PHL-250 Japanese Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60968&print'}, {'REL-328 Religions in Japan': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61401&print'}, 'An approved FYW or MayX (2 credits) with topic focus on Japan']"
26,"Japanese Studies, B.A.",h3: Only 1 of the following Pan-Asian courses may count toward the total of 12 courses:,"[{'ANT-209 Gender in East Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60091&print'}, {'AST-250 Human Development in Contemporary Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60135&print'}, {'AST-270 Languages of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60138&print'}, {'POL-229 Politics of Asia': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61040&print'}, {'REL-224 Introduction to Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61121&print'}, {'REL-320 Sexuality and Gender in Buddhism': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61720&print'}]"
27,"Biology, B.A.","h2: To fulfill major requirements, students must successfully complete ten or more biology courses, each of which must be at least three credits, and include:","[{'BIO-111 Foundations of Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60144&print'}, {'BIO-210 Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60147&print'}, {'BIO-211 Molecular Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60158&print'}, '', {'BIO-212 Human Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61504&print'}, '', {'BIO-213 Population Genetics and Evolution': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60184&print'}, '', {'BIO-222 Research and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60148&print'}, {'BIO-501 Independent Study': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60193&print'}, {'BIO-510 Thesis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60194&print'}, '', {'BIO-503 Individualized Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60195&print'}, '', {'BIO-075 Seminar in Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60141&print'}]"
28,"Biology, B.A.",h3: at least one course from two of the following three groups:,
29,"Biology, B.A.",h4: Cell and Molecular Biology,"[{'BIO-300 Cell Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60156&print'}, {'BIO-301 Microbiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60157&print'}, {'BIO-303 Biochemistry of the Cell': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60159&print'}, {'BIO-425 Developmental Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60180&print'}, {'BIO-445 Genomics and Bioinformatics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60186&print'}, {'BIO-450 Microanatomy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60187&print'}, {'BIO-455 Neurochemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60188&print'}, {'BIO-460 Neurobiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60189&print'}, {'BIO-470 Immunology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60191&print'}]"
30,"Biology, B.A.",h4: Physiology,"[{'BIO-320 Animal Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60161&print'}, {'BIO-321 Plant Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60162&print'}, {'BIO-322 Human Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60163&print'}]"
31,"Biology, B.A.",h4: Ecology and Environmental Biology,"[{'BIO-340 Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60164&print'}, {'BIO-343 Environmental Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60167&print'}, {'BIO-344 African Biodiversity and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60168&print'}, {'BIO-345 Field Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61611&print'}, {'BIO-346 Forest Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61644&print'}, {'BIO-430 Conservation Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60182&print'}, {'BIO-431 Landscape Ecology and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61645&print'}, {'BIO-434 Ecology and Management of Great Smoky Mountains': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61755&print'}, {'BIO-435 Agroecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61281&print'}]"
32,"Biology, B.A.",h3: Additional requirements,[]
33,"Biology, B.A.",h3: Further Considerations,
34,"Biology, B.A.",h2: Teaching in Secondary Schools,
35,"Biology, B.S. Biomedical Sciences track",h2: Biomedical Sciences track,
36,"Biology, B.S. Biomedical Sciences track","h2: To fulfill BMS track requirements, students must complete ten or more biology courses, each of which must be at least three credits. They must also complete three chemistry courses for a total of 13 credit-bearing science courses:","[{'BIO-111 Foundations of Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60144&print'}, {'BIO-222 Research and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60148&print'}, {'BIO-510 Thesis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60194&print'}, {'BIO-503 Individualized Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60195&print'}, '', {'BIO-075 Seminar in Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60141&print'}]"
37,"Biology, B.S. Biomedical Sciences track",h3: at least one course from each of the following four groups:,
38,"Biology, B.S. Biomedical Sciences track",h4: Genetics,"[{'BIO-210 Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60147&print'}, {'BIO-211 Molecular Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60158&print'}, {'BIO-212 Human Genetics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61504&print'}, {'BIO-213 Population Genetics and Evolution': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60184&print'}, 'Note: BIO-210, 211, or 212 recommended']"
39,"Biology, B.S. Biomedical Sciences track",h4: Cell and Molecular Biology,"[{'BIO-300 Cell Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60156&print'}, {'BIO-301 Microbiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60157&print'}, {'BIO-303 Biochemistry of the Cell': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60159&print'}, {'BIO-425 Developmental Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60180&print'}, {'BIO-445 Genomics and Bioinformatics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60186&print'}, {'BIO-450 Microanatomy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60187&print'}, {'BIO-455 Neurochemistry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60188&print'}, {'BIO-460 Neurobiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60189&print'}, {'BIO-470 Immunology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60191&print'}, 'Note: BIO-303 recommended']"
40,"Biology, B.S. Biomedical Sciences track",h4: Physiology,"[{'BIO-320 Animal Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60161&print'}, {'BIO-321 Plant Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60162&print'}, {'BIO-322 Human Physiology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60163&print'}]"
41,"Biology, B.S. Biomedical Sciences track",h4: Ecology and Environmental Biology,"[{'BIO-340 Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60164&print'}, {'BIO-343 Environmental Systems': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60167&print'}, {'BIO-344 African Biodiversity and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60168&print'}, {'BIO-345 Field Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61611&print'}, {'BIO-346 Forest Ecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61644&print'}, {'BIO-430 Conservation Biology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60182&print'}, {'BIO-431 Landscape Ecology and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61645&print'}, {'BIO-434 Ecology and Management of Great Smoky Mountains': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61755&print'}, {'BIO-435 Agroecology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61281&print'}]"
